MDEwOlJlcG9zaXRvcnkzMjAyNzM1Mg==,c172p,c172p-team,HTML,43,32,782
MDEwOlJlcG9zaXRvcnkyMzA2OTM5OQ==,bootstrap-material-design,FezVrasta,CSS,20159,3278,1087
MDEwOlJlcG9zaXRvcnkzMzk0NzU0OA==,catapult,catapult-project,HTML,1522,479,4606
MDEwOlJlcG9zaXRvcnk1MDY5NTU4OQ==,activity-stream,mozilla,JavaScript,186,127,2316
MDEwOlJlcG9zaXRvcnkzMDg1Njg1MQ==,CRM,ChurchCRM,PHP,275,225,2714
MDEwOlJlcG9zaXRvcnk2MjY2MDAzNg==,mentat,mozilla,Rust,1588,100,481
MDEwOlJlcG9zaXRvcnk4ODgxNDExMA==,lightbeam-we,mozilla,JavaScript,115,47,155
MDEwOlJlcG9zaXRvcnk3OTk1NTIyNg==,bugzilla-board,bendl,JavaScript,1,3,13
MDEwOlJlcG9zaXRvcnkzMTAxODcxNg==,focus-components,KleeGroup,JavaScript,27,37,535
MDEwOlJlcG9zaXRvcnkxMzgwMzIxNA==,highfive,servo,Python,199,56,92
MDEwOlJlcG9zaXRvcnk2NzgxNjY4MQ==,twentyseventeen,WordPress,CSS,193,140,238
MDEwOlJlcG9zaXRvcnkxMDQyMDk5Ng==,WP-API,WP-API,PHP,4029,698,1758
MDEwOlJlcG9zaXRvcnkyNjkyMjI1Ng==,PaperBadger,mozillascience,JavaScript,85,45,89
MDEwOlJlcG9zaXRvcnk3OTE2NDA=,waterbear,waterbearlang,JavaScript,318,93,814
MDEwOlJlcG9zaXRvcnkxMTE2NDcxOA==,MozStumbler,mozilla,Java,589,229,858
MDEwOlJlcG9zaXRvcnkyMzg0NDE3NA==,trace-viewer,google,,474,75,1052
MDEwOlJlcG9zaXRvcnk0MDU5MTIw,GlitterGallery,glittergallery,Ruby,43,39,159
MDEwOlJlcG9zaXRvcnkxNTc4NTQ4,persona,mozilla,JavaScript,1826,284,3001
MDEwOlJlcG9zaXRvcnk3NjYwMzE5OQ==,webpack-cli,webpack,TypeScript,1876,363,590
MDEwOlJlcG9zaXRvcnk0NjgxMDk1NA==,PlasmaPy,PlasmaPy,Python,286,158,409
MDEwOlJlcG9zaXRvcnk0MzA5ODIxNQ==,deepchem,deepchem,Python,2206,738,956
MDEwOlJlcG9zaXRvcnkzNTAxNTU3NQ==,webtorrent-desktop,webtorrent,JavaScript,7450,876,999
MDEwOlJlcG9zaXRvcnk0NzExODEyOQ==,luxon,moment,JavaScript,9371,411,505
MDEwOlJlcG9zaXRvcnkxMzU4NDI2Mg==,webtorrent,webtorrent,JavaScript,22092,2171,1328
MDEwOlJlcG9zaXRvcnkyMzIzOTA=,vanilla,vanilla,PHP,2188,710,4955
MDEwOlJlcG9zaXRvcnk2MjY3ODI2NQ==,express-gateway,ExpressGateway,JavaScript,2136,238,530
MDEwOlJlcG9zaXRvcnk1MTQ2ODQxMg==,edward,blei-lab,Jupyter Notebook,4512,781,510
MDEwOlJlcG9zaXRvcnkyOTQ1NTk2MA==,sanctuary,sanctuary-js,JavaScript,2501,101,225
MDEwOlJlcG9zaXRvcnk2NDU4ODE3OQ==,armory-app,madou,JavaScript,71,23,237
MDEwOlJlcG9zaXRvcnk1MTM5MjU3NA==,react-server,redfin,JavaScript,3918,211,313
MDEwOlJlcG9zaXRvcnkyMDkwMzM4Mw==,scalameta,scalameta,Scala,837,185,986
MDEwOlJlcG9zaXRvcnkyNDI1MzQ5Mw==,saltfs,servo,Python,42,96,248
MDEwOlJlcG9zaXRvcnkxOTU4NDIyNTk=,code-coverage,mozilla,Python,12,25,136
MDEwOlJlcG9zaXRvcnk3MTk0ODQ5OA==,localstack,localstack,Python,25149,1881,1630
MDEwOlJlcG9zaXRvcnkyMDY5Mzc0Mw==,OpenWPM,mozilla,Python,1029,218,419
MDEwOlJlcG9zaXRvcnkxMjQ5MTA1NzI=,bugbug,mozilla,Python,242,190,607
MDEwOlJlcG9zaXRvcnkxMzE2MTY1Nw==,sipp,SIPp,C++,513,244,271
MDEwOlJlcG9zaXRvcnk4MzQ5NjUwOA==,grcov,mozilla,Rust,335,55,200
MDEwOlJlcG9zaXRvcnkxOTk5NTIy,compromise,spencermountain,JavaScript,9372,599,495
MDEwOlJlcG9zaXRvcnkzOTUyNzMxOA==,ring,briansmith,Assembly,1727,307,583
MDEwOlJlcG9zaXRvcnk0MTQyMzI1Mg==,svg-edit,Gisellameloni,JavaScript,0,0,1282
MDEwOlJlcG9zaXRvcnk0MTEzMDU1OQ==,svg-edit,hackintos,JavaScript,0,0,1282
MDEwOlJlcG9zaXRvcnkxMDE2NjgwNjU=,custom-date-formatting,arshadkazmi42,TypeScript,5,63,33
MDEwOlJlcG9zaXRvcnk0MTA5OTAxOA==,svg-edit,goupviet,,0,0,517
MDEwOlJlcG9zaXRvcnk0MTAzMTc5NQ==,svg-edit,vikach,,0,0,131
MDEwOlJlcG9zaXRvcnk0MDgwMzY3Nw==,svg-edit,likaiguo,JavaScript,0,0,718
